,No.,material,Formula,CrystalSystem,bulk,shear,young,poisson,Hexp,best,y_cs,y_gap,y_den,y_csbg,y_csden,y_bgden,best-corrected-H4
0,1,mp-66,Diamond,cubic,435.3,520.5,1116.5,0.07,96.0,H5,H1a,H2,H2,H2,H5,H2,H5
1,2,mp-30148,BC2N,orthorhombic,361.0,422.7,912.1,0.08,76.0,H5,H2,H2,H2,H2,H2,H2,H5
2,3,mp-629458,BC2N,orthorhombic,361.6,409.0,891.1,0.09,76.0,H5,H2,H1a,H2,H2,H2,H5,H5
3,4,mp-1018649,c-BC5,trigonal,405.8,378.2,865.6,0.14,71.0,H2,H2,H4,H2,H2,H2,H2,H2
4,5,mp-1639,BN,cubic,408.0,374.5,860.2,0.15,63.0,H2,H1a,H2,H2,H2,H5,H2,H2
5,6,mp-1346,B6O,trigonal,226.9,207.7,477.4,0.15,35.0,H2,H2,H2,H2,H2,H2,H2,H2
6,7,mp-160,B,trigonal,211.3,200.1,456.3,0.14,35.0,H2,H2,H1a,H2,H2,H2,H5,H2
7,8,mp-8062,SiC,cubic,211.3,187.0,433.0,0.16,34.0,H5,H1a,H1a,H2,H5,H5,H5,H5
8,9,mp-10142,Ta3B4,orthorhombic,296.0,208.0,505.5,0.22,33.0,H2,H2,H4,H4,H4,H1a,H4,H2
9,10,mp-1479,BP,cubic,160.3,162.4,364.2,0.12,33.0,H5,H1a,H1a,H2,H5,H5,H5,H5
10,11,mp-9258,SiO2,cubic,320.0,205.8,508.3,0.24,33.0,H2,H1a,H2,H4,H2,H1a,H2,H2
11,12,mp-1145,TiB2,hexagonal,253.0,252.8,569.0,0.13,31.5,H1b,H4,H4,H4,H4,H4,H4,H1b
12,13,mp-1773,ReB2,hexagonal,337.5,269.9,639.3,0.18,30.1,H4,H4,H4,H4,H4,H4,H4,H5
13,14,mp-1472,ZrB2,hexagonal,238.2,226.2,515.5,0.14,30.0,H1b,H4,H4,H4,H4,H4,H4,H1b
14,15,mp-1894,WC,hexagonal,385.3,278.9,674.0,0.21,30.0,H4,H4,H4,H4,H4,H4,H4,H5
15,16,mp-27710,CrB4,orthorhombic,277.5,257.7,590.3,0.15,30.0,H4,H2,H4,H4,H4,H4,H4,H1b
16,17,mp-696746,B4C,trigonal,226.4,177.8,422.8,0.19,30.0,H2,H2,H1a,H2,H2,H2,H5,H2
17,18,mp-568803,Mg(B6C)2,orthorhombic,228.6,214.0,489.3,0.14,29.9,H1b,H2,H2,H2,H2,H2,H2,H1b
18,19,mp-1086,TaC,cubic,324.0,214.6,527.3,0.23,29.0,H1a,H1a,H4,H4,H1a,H1a,H4,H1a
19,20,mp-1282,VC,cubic,306.7,204.3,501.4,0.23,29.0,H1a,H1a,H4,H4,H1a,H1a,H4,H1a
20,21,mp-2030,RuS2,cubic,131.3,121.1,277.7,0.15,28.7,H5,H1a,H1a,H4,H5,H1a,H4,H4
21,22,mp-631,TiC,cubic,252.3,175.7,427.7,0.22,28.5,H2,H1a,H4,H4,H1a,H1a,H4,H2
22,23,mp-1352,ZrN,cubic,246.7,142.7,358.9,0.26,27.0,H3,H1a,H4,H4,H1a,H1a,H4,H3
23,24,mp-2795,ZrC,cubic,221.0,159.2,385.1,0.21,25.8,H2,H1a,H4,H4,H1a,H1a,H4,H2
24,25,mp-1108,TaB2,hexagonal,302.1,199.4,490.3,0.23,25.6,H5,H4,H4,H4,H4,H4,H4,H5
25,26,mp-21075,HfC,cubic,236.0,180.2,431.0,0.2,25.5,H1b,H1a,H4,H4,H1a,H1a,H4,H1b
26,27,mp-6947,SiO2,tetragonal,271.8,203.6,488.6,0.2,22.5,H4,H4,H2,H4,H4,H4,H2,H5
27,28,mp-2331,b-B2Mo,trigonal,295.0,224.5,537.3,0.2,22.0,H4,H2,H4,H4,H2,H4,H4,H5
28,29,mp-889,Cr3B4,orthorhombic,298.9,210.4,511.3,0.21,21.9,H4,H2,H4,H4,H4,H4,H4,H5
29,30,mp-2850,B2Os,orthorhombic,311.3,166.2,422.8,0.27,21.6,H1a,H2,H4,H4,H4,H1a,H4,H1a
30,31,mp-1143,Al2O3,trigonal,231.6,147.0,364.0,0.24,21.5,H1a,H2,H2,H2,H2,H2,H2,H1a
31,32,mp-1008785,RuO2,cubic,281.7,184.7,454.6,0.23,20.0,H4,H1a,H1a,H4,H5,H1a,H4,H5
32,33,mp-1580,NbN,cubic,304.7,129.9,339.9,0.31,20.0,H2,H1a,H4,H4,H1a,H1a,H4,H2
33,34,mp-492,TiN,cubic,258.7,180.6,439.5,0.22,20.0,H4,H1a,H4,H4,H1a,H1a,H4,H5
34,35,mp-2828,HfN,cubic,265.7,156.2,391.8,0.25,19.5,H5,H1a,H4,H4,H1a,H1a,H4,H5
35,36,mp-90,Cr,cubic,259.0,128.3,330.3,0.29,19.4,H2,H1a,H4,H4,H1a,H1a,H4,H2
36,37,mp-1077,B2Ru,orthorhombic,285.4,167.4,419.9,0.25,19.2,H4,H2,H4,H4,H4,H4,H4,H5
37,38,mp-988,Si3N4,hexagonal,234.5,120.5,308.5,0.28,19.0,H1b,H4,H2,H2,H1b,H1b,H2,H1b
38,39,mp-910,NbC,cubic,300.0,196.8,484.4,0.23,18.8,H4,H1a,H4,H4,H1a,H1a,H4,H5
39,40,mp-20905,OsS2,cubic,193.3,139.1,336.4,0.21,18.4,H1b,H1a,H4,H4,H1a,H1a,H4,H1b
40,41,mp-661,AlN,hexagonal,194.6,121.7,302.0,0.24,18.0,H1a,H4,H2,H2,H1b,H1b,H2,H1a
41,42,mp-763,MgB2,hexagonal,148.4,117.4,278.4,0.19,17.4,H1a,H4,H4,H2,H4,H1b,H2,H1a
42,43,mp-374,CrB2,hexagonal,252.0,182.9,441.8,0.21,16.0,H4,H4,H4,H4,H4,H4,H4,H5
43,44,mp-4571,CaZrO3,orthorhombic,148.1,85.3,214.6,0.26,15.5,H3,H2,H2,H4,H2,H4,H2,H3
44,45,mp-9270,SbIrS,orthorhombic,142.8,87.1,217.2,0.25,15.2,H3,H2,H1a,H4,H2,H1a,H3,H4
45,46,mp-960,a-B2Mo,hexagonal,299.0,153.0,392.0,0.28,15.2,H5,H4,H4,H4,H4,H4,H4,H5
46,47,mp-226,FeS2,cubic,146.0,135.3,310.1,0.15,15.1,H4,H1a,H1a,H4,H5,H1a,H4,H1b
47,48,mp-804,GaN,hexagonal,171.6,105.4,262.3,0.25,15.1,H1a,H4,H1a,H4,H1a,H4,H4,H1a
48,49,mp-856,SnO2,tetragonal,171.9,86.7,222.5,0.28,13.5,H1b,H4,H1a,H4,H1a,H4,H4,H1b
49,50,mp-1565,ZrO2,cubic,234.7,102.2,267.1,0.31,13.0,H4,H1a,H2,H4,H2,H1a,H2,H4
50,51,mp-4627,CoAsS,orthorhombic,139.2,104.4,250.5,0.2,12.2,H4,H2,H1a,H4,H2,H4,H4,H1b
51,52,mp-149,Si,cubic,83.3,61.4,147.8,0.2,12.0,H5,H1a,H1a,H2,H5,H5,H5,H4
52,53,mp-2513,As2Pt,cubic,137.3,82.9,206.9,0.25,11.2,H5,H1a,H1a,H4,H5,H1a,H3,H5
53,54,mp-778,Fe2P,hexagonal,215.5,88.8,234.3,0.32,11.0,H4,H4,H4,H4,H4,H4,H4,H4
54,55,mp-561511,FeAsS,monoclinic,142.6,117.0,275.7,0.18,10.8,H4,H4,H1a,H4,H4,H4,H4,H1b
55,56,mp-766,As2Ru,orthorhombic,149.2,104.7,254.5,0.22,10.8,H4,H2,H1a,H4,H2,H4,H4,H1a
56,57,mp-2070,CoS2,cubic,124.0,73.2,183.5,0.25,10.7,H1a,H1a,H4,H4,H1a,H1a,H4,H1a
57,58,mp-1111,Mn5Si3,hexagonal,148.0,46.3,124.7,0.36,10.6,H3,H4,H4,H4,H4,H4,H4,H3
58,59,mp-1522,FeS2,orthorhombic,149.9,124.8,293.1,0.17,10.1,H4,H2,H1a,H4,H2,H4,H4,H1b
59,60,mp-5881,CoSbS,orthorhombic,115.8,78.7,192.4,0.22,9.8,H4,H2,H1a,H4,H2,H4,H4,H2
60,61,mp-2490,GaP,cubic,76.3,51.6,126.2,0.22,9.5,H5,H1a,H1a,H4,H5,H1a,H4,H4
61,62,mp-427,FeAs,orthorhombic,163.0,81.0,208.3,0.29,9.4,H4,H2,H4,H4,H4,H4,H4,H5
62,63,mp-1550,AlP,cubic,85.3,47.1,119.3,0.27,9.4,H3,H1a,H1a,H2,H5,H5,H5,H3
63,64,mp-2657,TiO2,tetragonal,209.0,109.7,279.8,0.28,9.3,H5,H4,H1a,H4,H1a,H4,H4,H5
64,65,mp-22205,InN,hexagonal,104.7,66.2,163.9,0.24,9.0,H2,H4,H1a,H4,H1a,H4,H4,H2
65,66,mp-760,FeSe2,orthorhombic,117.6,91.8,218.4,0.19,9.0,H4,H2,H1a,H4,H2,H4,H4,H1b
66,67,mp-288,PtS,tetragonal,155.8,33.1,92.7,0.4,8.8,H3,H4,H1a,H4,H1a,H3,H3,H3
67,68,mp-32,Ge,cubic,59.3,45.6,108.8,0.19,8.8,H3,H1a,H4,H4,H1a,H1a,H4,H4
